filing_id,ticker,filing_type,accession_number,filing_year,chunking_method,failure_mode,sections_detected,chunks_produced,total_chars,captured_ratio,largest_section_item,largest_section_ratio,item_7_chars,quality_check_passed,quality_check_reason
WFC_0000072971-26-000133,WFC,10-K,0000072971-26-000133,2026,hybrid_section_aware,incorporation_by_reference,23,57,89583,0.9382,1,0.5129,276,False,section dominance: Item 1 (51.3%)
C_0000831001-23-000037,C,10-K,0000831001-23-000037,2023,fixed_size,non_standard_format,0,692,1253318,0.0,,0.0,0,False,no sections detected
C_0000831001-24-000033,C,10-K,0000831001-24-000033,2024,fixed_size,non_standard_format,0,690,1265870,0.0,,0.0,0,False,no sections detected
C_0000831001-25-000067,C,10-K,0000831001-25-000067,2025,fixed_size,non_standard_format,0,695,1269980,0.0,,0.0,0,False,no sections detected
C_0000831001-26-000011,C,10-K,0000831001-26-000011,2026,fixed_size,non_standard_format,0,659,1188651,0.0,,0.0,0,False,no sections detected
INTC_0000050863-23-000006,INTC,10-K,0000050863-23-000006,2023,fixed_size,non_standard_format,22,226,478666,0.0102,16,0.0065,268,False,low coverage (1.0%)
INTC_0000050863-24-000010,INTC,10-K,0000050863-24-000010,2024,fixed_size,non_standard_format,23,227,481506,0.0078,16,0.0041,272,False,low coverage (0.8%)
INTC_0000050863-25-000009,INTC,10-K,0000050863-25-000009,2025,fixed_size,non_standard_format,23,225,473502,0.0084,16,0.0048,236,False,low coverage (0.8%)
INTC_0000050863-26-000011,INTC,10-K,0000050863-26-000011,2026,fixed_size,non_standard_format,23,246,521123,0.0069,16,0.0036,235,False,low coverage (0.7%)
MS_0000895421-23-000284,MS,10-K,0000895421-23-000284,2023,fixed_size,non_standard_format,0,400,772155,0.0,,0.0,0,False,no sections detected
MS_0000895421-24-000300,MS,10-K,0000895421-24-000300,2024,fixed_size,non_standard_format,0,404,780638,0.0,,0.0,0,False,no sections detected
MS_0000895421-25-000304,MS,10-K,0000895421-25-000304,2025,fixed_size,non_standard_format,0,405,782320,0.0,,0.0,0,False,no sections detected
MS_0000895421-26-000086,MS,10-K,0000895421-26-000086,2026,fixed_size,non_standard_format,0,404,781812,0.0,,0.0,0,False,no sections detected
